competencia_id,deporte,evento,genero_evento
1,Basketball,Basketball Men's Basketball,Masculino
2,Judo,Judo Men's Extra-Lightweight,Masculino
3,Football,Football Men's Football,Masculino
4,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Masculino
5,Speed Skating,Speed Skating Women's 500 metres,Femenino
6,Speed Skating,"Speed Skating Women's 1,000 metres",Femenino
7,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Masculino
8,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Masculino
9,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Masculino
10,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Masculino
11,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Masculino
12,Athletics,Athletics Women's 100 metres,Femenino
13,Athletics,Athletics Women's 4 x 100 metres Relay,Femenino
14,Ice Hockey,Ice Hockey Men's Ice Hockey,Masculino
15,Swimming,Swimming Men's 400 metres Freestyle,Masculino
16,Badminton,Badminton Men's Singles,Masculino
17,Sailing,Sailing Women's Windsurfer,Femenino
18,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Femenino
19,Swimming,Swimming Men's 200 metres Breaststroke,Masculino
20,Swimming,Swimming Men's 400 metres Breaststroke,Masculino
21,Gymnastics,Gymnastics Men's Individual All-Around,Masculino
22,Gymnastics,Gymnastics Men's Team All-Around,Masculino
23,Gymnastics,Gymnastics Men's Floor Exercise,Masculino
24,Gymnastics,Gymnastics Men's Horse Vault,Masculino
25,Gymnastics,Gymnastics Men's Parallel Bars,Masculino
26,Gymnastics,Gymnastics Men's Horizontal Bar,Masculino
27,Gymnastics,Gymnastics Men's Rings,Masculino
28,Gymnastics,Gymnastics Men's Pommelled Horse,Masculino
29,Athletics,Athletics Men's Shot Put,Masculino
30,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",Mixto/Open
31,Alpine Skiing,Alpine Skiing Men's Downhill,Masculino
32,Alpine Skiing,Alpine Skiing Men's Super G,Masculino
33,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Masculino
34,Alpine Skiing,Alpine Skiing Men's Slalom,Masculino
35,Alpine Skiing,Alpine Skiing Men's Combined,Masculino
36,Handball,Handball Women's Handball,Femenino
37,Weightlifting,Weightlifting Women's Super-Heavyweight,Femenino
38,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Masculino
39,Speed Skating,Speed Skating Men's 500 metres,Masculino
40,Speed Skating,"Speed Skating Men's 1,500 metres",Masculino
41,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Masculino
42,Luge,Luge Women's Singles,Femenino
43,Water Polo,Water Polo Men's Water Polo,Masculino
44,Sailing,Sailing Mixed Three Person Keelboat,Mixto/Open
45,Hockey,Hockey Women's Hockey,Femenino
46,Rowing,Rowing Men's Lightweight Double Sculls,Masculino
47,Athletics,Athletics Men's Pole Vault,Masculino
48,Athletics,Athletics Men's High Jump,Masculino
49,Sailing,Sailing Men's Two Person Dinghy,Masculino
50,Athletics,"Athletics Men's 1,500 metres",Masculino
51,Bobsleigh,Bobsleigh Men's Four,Masculino
52,Swimming,Swimming Men's 100 metres Butterfly,Masculino
53,Swimming,Swimming Men's 200 metres Butterfly,Masculino
54,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Masculino
55,Football,Football Women's Football,Femenino
56,Fencing,"Fencing Men's Foil, Individual",Masculino
57,Fencing,"Fencing Men's epee, Individual",Masculino
58,Fencing,"Fencing Men's epee, Team",Masculino
59,Speed Skating,"Speed Skating Men's 5,000 metres",Masculino
60,Speed Skating,"Speed Skating Men's 10,000 metres",Masculino
61,Sailing,Sailing Mixed 8 metres,Mixto/Open
62,Equestrianism,"Equestrianism Mixed Jumping, Individual",Mixto/Open
63,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Masculino
64,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Masculino
65,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Masculino
66,Shooting,Shooting Men's Trap,Masculino
67,Athletics,Athletics Men's 4 x 100 metres Relay,Masculino
68,Athletics,Athletics Men's Long Jump,Masculino
69,Boxing,Boxing Men's Light-Welterweight,Masculino
70,Athletics,Athletics Women's Javelin Throw,Femenino
71,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Masculino
72,Taekwondo,Taekwondo Men's Flyweight,Masculino
73,Boxing,Boxing Men's Heavyweight,Masculino
74,Athletics,"Athletics Men's 5,000 metres",Masculino
75,Cycling,"Cycling Men's Road Race, Individual",Masculino
76,Cycling,"Cycling Men's Road Race, Team",Masculino
77,Weightlifting,Weightlifting Men's Lightweight,Masculino
78,Weightlifting,Weightlifting Men's Middleweight,Masculino
79,Rowing,Rowing Men's Coxless Pairs,Masculino
80,Judo,Judo Men's Half-Middleweight,Masculino
81,Taekwondo,Taekwondo Women's Flyweight,Femenino
82,Boxing,Boxing Men's Flyweight,Masculino
83,Basketball,Basketball Women's Basketball,Femenino
84,Diving,Diving Men's Platform,Masculino
85,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Masculino
86,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Masculino
87,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Masculino
88,Handball,Handball Men's Handball,Masculino
89,Rowing,Rowing Women's Coxless Pairs,Femenino
90,Boxing,Boxing Men's Middleweight,Masculino
